1,2,3,4,5,6,7,8,9
0.4,34,1,7.56,0.57,7.4,6.950494659,0.2,1
0.5,35,0.87,7.65,0.58,8,7.051967101,0.2,1
0.6,34,1.3,7.46,0.55,9,6.950494659,0.2,1
0.9,35,0.87,7.53,0.59,9,7.051967101,0.2,1
1,34,1,7.5,0.58,8.2,6.950494659,0.2,1
1,35,0.86,7.54,0.58,8.2,7.051967101,0.2,1
1.1,36,0.89,7.68,0.57,9.4,7.152,0.2,1
1.2,36,1.3,7.71,0.6,11,7.152,0.2,1
1.3,35,3.2,7.53,0.6,9,7.051967101,0.2,1
1.1,36,3,7.63,0.55,11,7.152,0.2,0
1,39,2.2,7.37,0.57,9.4,7.444037614,0.2,1
0.9,36,2.6,7.47,0.57,8.4,7.152,0.2,1
1.2,35,2.4,7.57,0.55,8.9,7.051967101,0.2,0
1.6,44,3.3,7.59,0.6,9.7,7.9068335,0.2,1
2.9,49,4.4,7.65,0.55,11,8.344,0.2,0
3.2,45,3.8,7.65,0.57,9.1,7.996179088,0.2,0
4,55,2.8,7.67,0.58,10,8.840108597,0.2,0
4.5,46,2.5,7.64,0.58,9.7,8.08453734,0.19,0
4.4,45,2.6,7.65,0.6,11,7.996179088,0.19,0
4,45,1.7,7.6,0.6,10,7.996179088,0.19,1
5.5,46,1.9,7.63,0.6,9.7,8.08453734,0.17,1
5.4,44,2.2,7.7,0.57,9.5,7.9068335,0.17,1
5.8,44,2,7.75,0.6,10,7.9068335,0.17,1
5.8,48,2.5,7.56,0.58,11,8.25841825,0.17,1
6.4,43,4.3,7.68,0.58,9.8,7.816466721,0.17,0
6.6,42,2.6,7.7,0.57,9.9,7.725042913,0.17,0
6.9,42,9.3,7.63,0.55,11,7.725042913,0.2,0
8.2,49,3.5,7.71,0.62,11,8.344,0.17,0
7.9,41,2.5,7.64,0.6,10,7.632524091,0.17,1
7.2,43,2.3,7.68,0.58,10,7.816466721,0.17,1
7.5,43,2,7.65,0.6,9.9,7.816466721,0.17,1
8.5,44,1.5,7.67,0.55,11,7.9068335,0.17,1
8.6,46,1.8,7.61,0.57,9.6,8.08453734,0.17,1
9.6,43,1.7,7.52,0.6,9.2,7.816466721,0.17,1
9.6,38,2.5,7.51,0.54,9,7.347981492,0.17,0
9.2,35,3.1,7.55,0.5,9.4,7.051967101,0.17,1
9.8,40,2.1,7.59,0.5,10,7.538869942,0.17,1
10.3,38,2.2,7.58,0.56,8.2,7.347981492,0.17,1
10.5,38,2.5,7.49,0.57,9,7.347981492,0.17,1
11.2,38,3.2,7.5,0.55,9.6,7.347981492,0.15,1
11.5,35,2.2,7.57,0.57,13,7.051967101,0.15,0
12.1,33,2.5,7.63,0.54,10,6.847518675,0.15,1
12.5,35,2.8,7.46,0.57,8.6,7.051967101,0.15,1
12.1,34,3,7.63,0.6,8.2,6.950494659,0.15,1
